"2013 Seattle - Income Characteristics - All Occupied Units    
Seattle-Tacoma-Bellevue, WA MSA (2003 OMB definition)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenure Filter: Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography Filter: Urbanized Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variable 1: Household Income, Variable 2: Monthly Housing Cost as Percentage of Income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[Numbers in thousands, except as indicated. Weighting consistent with Census 2010. Blank cells represent or round to zero; '.' represents not applicable or no cases in sample.]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristics,Household Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,,"Less than $10,000",,,,,,,,,,,,,,,"$10,000 to $19,999",,,,,,,,,,,,,,,"$20,000 to $29,999",,,,,,,,,,,,,,,"$30,000 to $39,999",,,,,,,,,,,,,,,"$40,000 to $49,999",,,,,,,,,,,,,,,"$50,000 to $59,999",,,,,,,,,,,,,,,"$60,000 to $79,999",,,,,,,,,,,,,,,"$80,000 to $99,999",,,,,,,,,,,,,,,"$100,000 to $119,999",,,,,,,,,,,,,,"$120,000 or more",,,,,,,,,,,,,,
,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,
,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income
    Total,767.5,23.0,75.6,109.9,131.4,113.7,85.9,58.5,29.1,51.7,27.4,12.8,15.5,25.7,7.5,23.4,.,.,.,0.8,.,.,0.4,0.4,.,.,.,1.0,13.4,7.5,30.4,0.4,.,.,1.5,0.8,2.0,2.3,2.4,4.2,5.3,1.2,4.4,5.8,.,47.3,.,.,1.6,4.3,4.6,4.8,4.5,1.9,9.2,6.2,2.4,3.8,4.1,.,45.3,.,.,7.7,7.1,4.4,3.7,1.9,2.1,5.3,7.4,2.4,2.5,0.8,.,51.3,.,.,5.5,5.9,4.8,5.3,6.0,3.0,11.0,4.6,3.1,1.7,0.4,.,39.3,.,0.4,7.1,4.2,4.6,5.3,5.8,4.8,4.9,1.4,0.8,.,.,.,92.9,.,8.2,13.5,10.6,16.4,16.3,12.8,6.7,5.6,.,2.0,0.4,0.4,.,106.3,1.5,10.4,13.8,18.7,23.2,18.7,10.2,3.3,5.3,0.4,.,0.4,0.4,.,70.9,0.5,10.6,5.2,17.0,16.5,9.9,5.7,2.5,1.7,0.8,.,0.5,.,260.6,20.5,45.9,55.5,61.4,38.4,19.9,9.0,2.1,4.6,1.2,0.8,0.8,0.4,.
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Household Income, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"Less than $5,000",18.0,.,.,.,.,.,.,.,.,.,.,.,0.5,10.0,7.5,18.0,.,.,.,.,.,.,.,.,.,.,.,0.5,10.0,7.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$5,000 to $9,999",5.3,.,.,.,0.8,.,.,0.4,0.4,.,.,.,0.4,3.4,.,5.3,.,.,.,0.8,.,.,0.4,0.4,.,.,.,0.4,3.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
