"2013 Seattle - General Housing Data - All Occupied Units    
Seattle-Tacoma-Bellevue, WA MSA (2003 OMB definition)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenure Filter: Renter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography Filter: Urbanized Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variable 1: Household Income, Variable 2: Monthly Housing Cost as Percentage of Income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[Numbers in thousands, except as indicated. Weighting consistent with Census 2010. Blank cells represent or round to zero; '.' represents not applicable or no cases in sample.]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristics,Household Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,,,"Less than $10,000",,,,,,,,,,,,,,,,"$10,000 to $19,999",,,,,,,,,,,,,,,,"$20,000 to $29,999",,,,,,,,,,,,,,,,"$30,000 to $39,999",,,,,,,,,,,,,,,,"$40,000 to $49,999",,,,,,,,,,,,,,,,"$50,000 to $59,999",,,,,,,,,,,,,,,,"$60,000 to $79,999",,,,,,,,,,,,,,,,"$80,000 to $99,999",,,,,,,,,,,,,,,,"$100,000 to $119,999",,,,,,,,,,,,,,,,"$120,000 or more",,,,,,,,,,,,,,,
,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,,Monthly Housing Cost as Percentage of Income,,,,,,,,,,,,,,,
,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,No cash rent,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,No cash rent,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,No cash rent,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,No cash rent,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,No cash rent,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,No cash rent,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,No cash rent,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,No cash rent,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,No cash rent,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,No cash rent,Total,Less than 5 percent,5 to 9 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 to 59 percent,60 to 69 percent,70 to 99 percent,100 percent or more,Zero or negative income,No cash rent
   Total,523.9,4.6,9.6,33.0,52.1,58.2,66.2,46.3,36.8,50.5,33.3,18.2,36.8,49.6,13.5,15.0,57.7,.,.,.,.,1.9,3.4,4.1,0.8,0.9,2.7,0.4,5.6,25.6,9.7,2.4,62.5,.,.,0.9,1.5,1.7,8.2,2.8,1.6,5.8,7.2,5.6,13.8,10.6,0.9,1.8,59.3,.,.,1.3,1.6,0.8,1.3,2.6,9.0,15.3,8.7,5.7,4.8,5.4,0.7,2.2,69.5,0.4,.,0.4,2.9,4.2,12.2,14.8,10.1,10.5,5.5,2.0,3.3,2.0,.,1.1,47.8,.,0.4,0.7,2.0,7.5,11.2,5.9,3.6,5.4,4.2,0.8,2.2,1.1,0.4,2.4,45.3,.,0.4,0.4,2.2,11.4,9.0,7.0,3.7,4.3,1.6,1.0,1.7,1.2,0.5,0.8,57.5,0.4,0.4,2.5,14.6,9.0,10.7,5.4,3.4,3.7,1.4,1.2,2.1,0.4,0.4,1.9,42.8,0.8,2.1,5.5,7.8,8.5,6.2,2.4,1.6,2.4,1.2,0.4,1.2,1.2,.,1.5,30.5,.,0.4,6.8,8.2,6.0,2.8,0.4,2.0,1.0,0.4,0.4,1.4,0.4,.,0.4,51.0,3.1,5.8,14.4,11.3,7.2,1.3,0.9,1.0,1.2,0.4,0.8,0.9,1.6,0.8,0.4
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Units in Structure, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"1, detached",118.5,1.2,2.4,4.4,15.8,14.6,14.5,9.1,8.9,9.3,6.6,4.3,5.7,11.2,2.7,8.0,5.8,.,.,.,.,.,.,.,.,.,0.4,.,0.8,3.3,1.3,.,5.6,.,.,.,0.6,.,.,.,.,0.4,.,.,.,3.1,.,1.4,9.0,.,.,.,.,.,0.5,0.4,0.8,1.2,0.8,2.7,0.4,0.8,.,1.3,10.0,.,.,.,0.4,.,2.3,0.4,0.8,1.9,1.6,.,1.6,0.4,.,0.7,9.7,.,0.4,.,0.8,0.7,1.3,.,1.9,0.3,1.2,.,0.9,0.7,.,1.6,13.0,.,.,.,0.4,1.6,2.0,2.3,1.5,2.6,0.8,.,0.5,0.8,0.5,.,18.6,.,.,0.4,1.8,3.5,2.2,3.5,1.7,2.1,1.0,.,0.4,0.4,0.4,1.1,14.7,0.8,0.4,0.4,0.8,3.2,2.8,2.0,1.2,.,0.4,0.4,0.7,.,.,1.5,10.3,.,0.4,.,3.2,3.1,2.1,.,0.4,.,0.4,0.4,.,.,.,0.4,21.7,0.4,1.2,3.6,7.7,2.5,1.3,0.4,0.5,0.8,.,0.8,0.4,1.6,0.4,.
"1, attached",40.3,.,.,1.7,1.9,3.7,8.6,4.5,3.9,5.2,4.2,0.4,1.1,2.3,1.4,1.2,5.3,.,.,.,.,.,0.4,.,.,.,.,.,1.1,2.3,1.0,0.4,3.4,.,.,.,.,.,1.2,0.7,.,0.8,0.7,.,.,.,.,.,3.2,.,.,.,.,.,.,.,0.4,1.1,1.3,0.4,.,.,.,.,8.3,.,.,.,.,0.7,.,1.5,1.3,2.5,2.3,.,.,.,.,.,3.1,.,.,.,0.4,.,1.3,0.7,.,0.7,.,.,.,.,.,.,5.3,.,.,.,.,.,2.3,0.7,1.9,.,.,.,.,.,.,0.4,4.7,.,.,.,0.4,.,3.1,0.4,0.4,.,.,.,.,.,.,0.4,1.5,.,.,.,0.7,0.8,.,.,.,.,.,.,.,.,.,.,1.5,.,.,.,0.4,0.8,0.3,.,.,.,.,.,.,.,.,.,3.9,.,.,1.7,.,1.4,.,0.4,.,.,.,.,.,.,0.4,.
